lat,lng,price,star_rating,reviews_count,bathrooms,bedrooms,neighborhood,beds,picture_count,description
40.683045340255454,-73.96491945876528,25,5.0,3,1.0,1,Clinton Hill,1,6,My place is in Clinton Hill near historic Bed-Stuy Park Slope Fort Greene and Barclays Center. You'll love the neighborhood for it's quality and diverse ethnic dining and the great variety of spots to go out (very hipster!). My place is small but cozy and really well located!  1 small bedroom with a fairly large living room/kitchen.  Bedroom  Kitchen  Living Room with dining table couch and work desk Drawers and a closet to store clothes  I'll be happy to help you map out the best visit of Brooklyn! I will be coming in and out mostly to sleep on the couch and to grab some stuff. Work a lot and am often at home to sleep between midnight and 6 am.  The neighborhood has a lot to offer: pre-war european brownstones walking distance to Park Slope Bed-Stuy and all around great coffee shops restaurants and spots to go out. Will be happy to share my list of recommendations!
40.77861582936026,-73.94909221848178,85,,1,1.0,1,Upper East Side,1,5,My place is close to Shake Shack The Metropolitan Museum of Art AMC Loews Orpheum 7 and Cafe D'Alsace. You'll love my place because of the neighborhood. My place is good for couples solo adventurers business travelers big groups and furry friends (pets).
40.7458233062474,-73.99678023409928,108,,0,1.0,0,Chelsea,1,9,Walking distance to the High Line MACY*S Times Square the Standard Hotel Tao and several other trendy restaurants bars and clubs in the neighborhood.  You'll love my place because of the location location location - steps away from all major subway lines NJ Path NY Penn Station. My place is good for couples solo adventurers and business travelers. Experience NYC in a cozy studio the heart of Chelsea!  Sunny apartment with several windows and great lighting. Super comfy queen size bed. High speed internet access. This apartment is on the 4th Floor of a walkup in Chelsea.  You will have access to the entire studio apartment queen size bed alcove kitchen and bathroom.  There are comedy clubs movie theaters bars and restaurants within steps of my apartment!  My apartment is located on the same block as the C and E subway lines (you don't even need to cross the street!). Also it is within walking distance from the 1 F V N Q R subway lines.  5 minute walk to NJ Path 7 minute walk to NY Penn Station. There is a Whole Foods 1 avenue away and Trader Joe's 2 avenues away. There is also another major grocery store across the street.
40.73118644288352,-73.98855816755587,95,4.5,13,1.0,1,East Village,1,7,Lovely big room & apartment with quiet private patio off of  bedroom! Wood floors & very clean large friendly living room & kitchen. Heart of the east village w/ ALL subway access @Union Square. Very safe building close to everything in fun area!  The room is very bright and airy with a huge desk access to a computer and large private patio off of the back of it. While I have roommates they are rarely home and schedules allow for the feel of a very large studio in the heart of Manhattan! Perfect for a weekend!  You'll be able to access the kitchen with a kettle microwave and oven and an espresso maker. Fridge is completely accessible as is the living room with a tv/cable/dvd player and comfy couches. Also of course the bathroom!  I'm available at any point should there be  any issues or questions that arise while you're staying at the apartment. Email / call / text.  The most accessible area with the largest subway hub just blocks away. Great restaurants of any kind you can imagine are only minutes away as well and the best park in the city just a short walk - Washington Square.  Union Square all buses and taxis available on the street.  There are no animals in the apartment and it's very safe. Feel free to smoke on the back patio though not inside. My roommates are also very happy to help should anything be needed during your stay!
40.82320238248697,-73.95580527171072,35,5.0,9,1.0,1,Hamilton Heights,1,7,A beautiful space tucked in between Broadway and Riverside on a street that is quiet sunny and safe. Explore Jazzy Harlem or take the 1 train right around the corner along the west side into downtown Manhattan.   This is a big room curtained off from the kitchen.  Guests have access to half an apartment including a kitchen in a prewar townhouse on a tree-lined residential street in west Harlem.  Washer Dryer internet kitchen bathroom.  Really easy to get to the Hudson (1 block away) Riverbank state park.  Very convenient public transit. The 1 train runs 24 hours
40.73917804272474,-74.00187485790632,95,5.0,6,1.0,1,West Village,1,14,Cozy comfortable and private bedroom in the heart of Manhattan's West Village.  Shared bathroom.  Apartment has a dining room and kitchen which guests are welcome to use (along with me your host and my cat Bear).    Apartment is centrally located.  1 minute walk to the 1 2 3 A C E and L subways lines.    Rental is ideal for low maintenance travelers who will be busy enjoying the incredible amenities NYC has to offer.  There is a house cat!  Guests must be okay with that.
40.729615321065644,-73.99932033673487,97,5.0,3,1.0,1,Greenwich Village,1,1,This clean large room w/ access to kitchen is located on Bleecker St so you will have access in minutes to endless restaurants bars parks galleries and other attractions. It is also easily accessible by subway (5 minute walk). There are many students in the area so you can find affordable food and drink options. One thing to note is that the area can be pretty loud at night (even though I provide you a white noise machine) so if you're not part of the party you may feel a bit left out :)  The best part of the space is the neighborhood. But the rooms are large and comfortable. I have everything you need.  As often as you'd like. I will be there to greet you. I'm in and out during the day but nearby and available via technology for any and all questions!  Greenwich Village is the best neighborhood in Manhattan once you get over the big buildings (which you're welcome to go see). Amazing food options and bars affordable not too touristic. You will love it.  West 4th Subway Stop (Trains A C E B D F M)
40.79523415930167,-73.94762486028138,35,,0,1.0,1,East Harlem,1,7,Absolutely gorgeous place for budget travelers shared room with 3 bunk beds! The whole space has two shared rooms and spacious living room. Very clean and safe place have only the best people to share the space. The best price is offered don't lose great opportunity to stay here. My place is close to Camaradas El Barrio Earth Café and Harlem Meer. You'll love my place because of the high ceilings the views and the location. My place is good for solo adventurers.
40.71514455644585,-73.98492685696226,40,4.5,28,1.0,1,Lower East Side,1,12,This is a twin bed placed in a living room in a quiet 2 bedroom apartment for shared with access to the kitchen bathroom and living room. This is a peaceful neighborhood so is easy to come at any time. Close to One World Tride Center The two Bridges Wall Street and plenty stores and restaurants like 169 Bar The Fat Radish etc. You can get to Time Square in 15 minutes using the subway.  Just a block away is the subway station F train (East Broadway)
40.719875909217336,-73.98601944291819,180,5.0,10,1.0,0,Lower East Side,1,7,My studio is 2 blocks from the FJMZ trains steps from East Village and a 15 minute walk to SoHo. There are a ton of trendy restaurants bars coffee shops and bodegas in the neighborhood - definitely a foodie paradise! The New Museum is a few blocks away on Bowery and there are also great art galleries in the area. There are several cute boutiques nearby including Yumi Kim and Reformation. My cozy apartment is good for couples solo adventurers and business travelers.  I typically stay in the city over the weekends so I'm available if needed!  The LES is a hotspot for restaurants and nightlife. It's a little more gritty than SoHo but has a similar vibe and lots of personality.  2 blocks from FJMZ trains and several bus lines. There are three parking garages within a 2 block radius and street parking as well. My place is centrally located and an easy commute to anywhere in the 5 burrows.  The studio is a first floor walk up with no elevator access.
40.70529156937859,-74.00634812383952,117,5.0,12,1.0,1,Financial District,1,3,Single private room in a pretty new apartment with A/C closet shared bathroom 40'' flat screen TV... in a luxury building.   Enjoy the beautiful kitchen fast Internet and cable TV with all channels. Also all the amenities of the building such as common areas and rooftop. Feel like in your own home.  My place is close to restaurants bars subway station and everything close. Wall St Financial District World Trade Center Battery Park...
40.70526851938713,-74.00674289211017,59,,1,1.0,1,Financial District,1,12,*HAVE INSTANT BOOK ON THIS BOOKS FAST!!! Renting a bed in my large bedroom for one lucky female tourist.  I LOVE my city so much but also know how expensive accommodations can be. I want visitors to enjoy it without spending $$$ on a bed they will probably only sleep on.  My apartment is located in a SUPER LUXURY Wall Street building.   Some of my neighbors are celebrities and models.  The apartment itself is large by NYC standards (approx 900sq ft) with 10ft ceilings. It is VERY CLEAN.  We have a 24/7 Doorman/Concierge 24/7 GYM elevators Rooftop Lounge (that serves a free breakfast Monday-Friday) Basketball court and valet.  The building is in one of the safest neighborhoods in NYC.  I have a loft bed and you will be sharing my room.  The top double bed is yours. It is a 12-inch Full memory foam mattress with memory foam pillows.  My bedroom kitchen livingroom gym rooftop lounge.  If using kitchen to cook please clean up after yourself.  Little or as much as you want.  I'm not always in the apt but can always be reached by phone.  Super convenient location in one of the most Famous and Historic (and clean areas) in NYC.  One block away from the East River and ferries. There's a beautiful jogging and bike path behind the building. Citibike station next to building.  Walking distance to some of the best bars and restaurants in NYC.  Minutes from the 9/11 Memorial Seaport Battery Park Century 21 Statue of Libery Ferry  Chinatown Soho Little Italy Nolita and East and West Villages.  10-Subway lines are minutes away 2/3- Wall st 4/5- Wall st J/Z-Broad st A/C-Fulton st 1/R-South Ferry (Whitehall st)  M15 bus across the street  Numerous Taxis and Ubers around  Citibike station next to building  Path trains to NJ  Ferries behind building  Can be reach by phone or email
40.71615366738591,-73.99538949136978,90,4.5,25,1.0,1,Chinatown,1,6,A private bedroom in a two bedroom apartment located on the sixth floor. It has a queen size bed and is perfect for one or two persons.
40.801302877463,-73.96496703586148,56,,0,1.0,1,Upper West Side,1,7,My place is good for solo adventurers and business travelers. It is in a very safe location close to the Central Park and Columbia University. You will be living in one of the bedrooms in a three bedroom apartment.
